resp	s160	phase	0.006203
resp	s263	init	0.008166
resp	s263	trunc	0.097936
resp	s263	phase	0.078823
resp	s129	init	0.025739
resp	s129	trunc	0.078254
resp	s129	phase	0.021175
resp	s166	init	-0.012932
resp	s166	trunc	0.190274
resp	s166	phase	0.148207
resp	s266	init	0.059383
resp	s266	trunc	0.071521
resp	s266	phase	0.055282
resp	s130	init	0.005581
resp	s130	trunc	0.060464
resp	s130	phase	-0.023123
resp	s177	init	0.019263
resp	s177	trunc	-0.029605
resp	s177	phase	0.011884
resp	s267	init	0.110510
resp	s267	trunc	0.257485
resp	s267	phase	0.333731
resp	s131	init	0.024358
resp	s131	trunc	0.209751
resp	s131	phase	0.139194
resp	s179	init	0.026843
resp	s179	trunc	0.079147
resp	s179	phase	0.074243
